Tiempo(s) Distancia(m)
0.0 0
1.0 0.034739
2.0 0.05147750000000001
3.0 0.059057750000000006
4.0 0.061904375000000005
5.0 0.0622386875
6.0 0.06117684374999999
7.0 0.059286421874999995
8.0 0.0568587109375
9.0 0.05404785546874999
10.0 0.05094142773437503
11.0 0.04759171386718752
12.0 0.04403585693359374
13.0 0.04030242846679685
14.0 0.036416214233398456
15.0 0.032400607116699225
16.0 0.02827830355834959
17.0 0.024071651779174807
18.0 0.019801325889587384
19.0 0.015490662944793732
20.0 0.011160831472396826
21.0 0.006833415736198417
22.0 0.002530207868099252
23.0 -0.0017288960659504263
24.0 -0.005922948032975179
25.0 -0.010031974016487569
26.0 -0.014037987008243814
27.0 -0.017921493504121887
28.0 -0.02166624675206098
29.0 -0.025254123376030453
30.0 -0.02867106168801523
31.0 -0.03190203084400765
32.0 -0.034933515422003784
33.0 -0.037753257711001936
34.0 -0.04035012885550095
35.0 -0.042714564427750464
36.0 -0.04483828221387523
37.0 -0.04671364110693761
38.0 -0.04833432055346882
39.0 -0.04969666027673439
40.0 -0.050797330138367194
41.0 -0.051633165069183605
42.0 -0.052205082534591815
43.0 -0.052513041267295904
44.0 -0.05255852063364795
45.0 -0.052345760316823975
46.0 -0.05187888015841199
47.0 -0.05116344007920599
48.0 -0.050206720039603
49.0 -0.0490158600198015
50.0 -0.04759993000990074
51.0 -0.04596896500495036
52.0 -0.044133982502475196
53.0 -0.0421069912512376
54.0 -0.03989999562561879
55.0 -0.0375259978128094
56.0 -0.03499949890640469
57.0 -0.03233474945320233
58.0 -0.029545874726601182
59.0 -0.026649937363300617
60.0 -0.023660468681650306
61.0 -0.020595234340825122
62.0 -0.01746911717041256
63.0 -0.014298558585206293
64.0 -0.01109977929260317
65.0 -0.007888889646301564
66.0 -0.004681944823150784
67.0 -0.0014944724115754197
68.0 0.0016577637942123361
69.0 0.004760881897106159
70.0 0.007798940948553072
71.0 0.010758970474276555
72.0 0.013626485237138282
73.0 0.016389242618569114
74.0 0.01903512130928453
75.0 0.02155206065464227
76.0 0.023930530327321148
77.0 0.026159765163660573
78.0 0.028230882581830284
79.0 0.030135941290915163
80.0 0.03186747064545758
81.0 0.03342023532272878
82.0 0.0347881176613644
83.0 0.03596755883068219
84.0 0.0369537794153411
85.0 0.03774638970767056
86.0 0.03834269485383528
87.0 0.03874334742691763
88.0 0.03894817371345882
89.0 0.03895858685672941
90.0 0.03877779342836471
91.0 0.03840939671418235
92.0 0.03785769835709117
93.0 0.037126849178545585
94.0 0.0362234245892728
95.0 0.03515421229463639
96.0 0.0339261061473182
97.0 0.032548553073659114
98.0 0.031028776536829533
99.0 0.02937738826841478
100.0 0.027603194134207386
